ExpositionPeriodId;ExpositionId;PeriodStart;PeriodEnd;RemainingTIckets
0B2CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-25 10:30:00.0000000;2020-06-25 11:30:00.0000000;4
3ED1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-25 12:30:00.0000000;2020-06-25 13:30:00.0000000;4
2331C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-25 14:30:00.0000000;2020-06-25 15:30:00.0000000;4
7BECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-25 15:30:00.0000000;2020-06-25 16:30:00.0000000;4
0D2CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-26 10:30:00.0000000;2020-06-26 11:30:00.0000000;4
40D1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-26 12:30:00.0000000;2020-06-26 13:30:00.0000000;3
2531C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-26 14:30:00.0000000;2020-06-26 15:30:00.0000000;4
7EECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-26 15:30:00.0000000;2020-06-26 16:30:00.0000000;4
0F2CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-27 10:30:00.0000000;2020-06-27 11:30:00.0000000;4
42D1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-27 12:30:00.0000000;2020-06-27 13:30:00.0000000;4
2731C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-27 14:30:00.0000000;2020-06-27 15:30:00.0000000;4
80ECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-27 15:30:00.0000000;2020-06-27 16:30:00.0000000;4
112CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-28 10:30:00.0000000;2020-06-28 11:30:00.0000000;4
44D1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-28 12:30:00.0000000;2020-06-28 13:30:00.0000000;4
2931C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-28 14:30:00.0000000;2020-06-28 15:30:00.0000000;4
82ECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-28 15:30:00.0000000;2020-06-28 16:30:00.0000000;4
132CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-29 10:30:00.0000000;2020-06-29 11:30:00.0000000;4
46D1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-29 12:30:00.0000000;2020-06-29 13:30:00.0000000;4
